loss,epoch,idx
"tf.Tensor(0.47598457, shape=(), dtype=float32)",1,361
"tf.Tensor(0.47819036, shape=(), dtype=float32)",1,362
"tf.Tensor(0.46217108, shape=(), dtype=float32)",1,363
"tf.Tensor(0.46652645, shape=(), dtype=float32)",1,364
"tf.Tensor(0.4796202, shape=(), dtype=float32)",1,365
"tf.Tensor(0.47478765, shape=(), dtype=float32)",1,366
"tf.Tensor(0.4735427, shape=(), dtype=float32)",1,367
"tf.Tensor(0.4753968, shape=(), dtype=float32)",1,368
"tf.Tensor(0.47159326, shape=(), dtype=float32)",1,369
"tf.Tensor(0.47580972, shape=(), dtype=float32)",1,370
"tf.Tensor(0.46383527, shape=(), dtype=float32)",1,371
"tf.Tensor(0.485345, shape=(), dtype=float32)",1,372
"tf.Tensor(0.47026318, shape=(), dtype=float32)",1,373
"tf.Tensor(0.48252565, shape=(), dtype=float32)",1,374
"tf.Tensor(0.4554, shape=(), dtype=float32)",1,375
"tf.Tensor(0.46079108, shape=(), dtype=float32)",1,376
"tf.Tensor(0.46328926, shape=(), dtype=float32)",1,377
"tf.Tensor(0.47958452, shape=(), dtype=float32)",1,378
"tf.Tensor(0.47267348, shape=(), dtype=float32)",1,379
"tf.Tensor(0.45560282, shape=(), dtype=float32)",1,380
"tf.Tensor(0.47490966, shape=(), dtype=float32)",1,381
"tf.Tensor(0.47212198, shape=(), dtype=float32)",1,382
"tf.Tensor(0.4548288, shape=(), dtype=float32)",1,383
"tf.Tensor(0.46941072, shape=(), dtype=float32)",1,384
"tf.Tensor(0.46441796, shape=(), dtype=float32)",1,385
"tf.Tensor(0.4659919, shape=(), dtype=float32)",1,386
"tf.Tensor(0.4565549, shape=(), dtype=float32)",1,387
"tf.Tensor(0.472093, shape=(), dtype=float32)",1,388
"tf.Tensor(0.46519718, shape=(), dtype=float32)",1,389
"tf.Tensor(0.47401065, shape=(), dtype=float32)",1,390
"tf.Tensor(0.4689694, shape=(), dtype=float32)",1,391
"tf.Tensor(0.45599154, shape=(), dtype=float32)",1,392
"tf.Tensor(0.47832927, shape=(), dtype=float32)",1,393
"tf.Tensor(0.47327787, shape=(), dtype=float32)",1,394
"tf.Tensor(0.47161698, shape=(), dtype=float32)",1,395
"tf.Tensor(0.46337003, shape=(), dtype=float32)",1,396
"tf.Tensor(0.45555395, shape=(), dtype=float32)",1,397
"tf.Tensor(0.47133195, shape=(), dtype=float32)",1,398
"tf.Tensor(0.4712844, shape=(), dtype=float32)",1,399
"tf.Tensor(0.4857753, shape=(), dtype=float32)",1,400
"tf.Tensor(0.46567988, shape=(), dtype=float32)",1,401
"tf.Tensor(0.4800775, shape=(), dtype=float32)",1,402
"tf.Tensor(0.45316786, shape=(), dtype=float32)",1,403
"tf.Tensor(0.47059602, shape=(), dtype=float32)",1,404
"tf.Tensor(0.46203882, shape=(), dtype=float32)",1,405
"tf.Tensor(0.47857383, shape=(), dtype=float32)",1,406
"tf.Tensor(0.46741235, shape=(), dtype=float32)",1,407
"tf.Tensor(0.47992188, shape=(), dtype=float32)",1,408
"tf.Tensor(0.4810915, shape=(), dtype=float32)",1,409
"tf.Tensor(0.4577104, shape=(), dtype=float32)",1,410
"tf.Tensor(0.46819395, shape=(), dtype=float32)",1,411
"tf.Tensor(0.4775796, shape=(), dtype=float32)",1,412
"tf.Tensor(0.47276634, shape=(), dtype=float32)",1,413
"tf.Tensor(0.4558691, shape=(), dtype=float32)",1,414
"tf.Tensor(0.46486634, shape=(), dtype=float32)",1,415
"tf.Tensor(0.48154753, shape=(), dtype=float32)",1,416
"tf.Tensor(0.45957774, shape=(), dtype=float32)",1,417
"tf.Tensor(0.46893018, shape=(), dtype=float32)",1,418
"tf.Tensor(0.46479374, shape=(), dtype=float32)",1,419
"tf.Tensor(0.44546193, shape=(), dtype=float32)",1,420
"tf.Tensor(0.4615677, shape=(), dtype=float32)",1,421
"tf.Tensor(0.46985042, shape=(), dtype=float32)",1,422
"tf.Tensor(0.46989858, shape=(), dtype=float32)",1,423
"tf.Tensor(0.46278566, shape=(), dtype=float32)",1,424
"tf.Tensor(0.47480434, shape=(), dtype=float32)",1,425
"tf.Tensor(0.45705992, shape=(), dtype=float32)",1,426
"tf.Tensor(0.47452825, shape=(), dtype=float32)",1,427
"tf.Tensor(0.4568675, shape=(), dtype=float32)",1,428
"tf.Tensor(0.45269144, shape=(), dtype=float32)",1,429
"tf.Tensor(0.45961, shape=(), dtype=float32)",1,430
"tf.Tensor(0.46806902, shape=(), dtype=float32)",1,431
"tf.Tensor(0.44822848, shape=(), dtype=float32)",1,432
"tf.Tensor(0.4571455, shape=(), dtype=float32)",1,433
"tf.Tensor(0.46495825, shape=(), dtype=float32)",1,434
"tf.Tensor(0.46604702, shape=(), dtype=float32)",1,435
"tf.Tensor(0.4608491, shape=(), dtype=float32)",1,436
